Col_id,Col_time,Col_item,Col_power,Col_current,Col_voltage,Col_electricity
114,2025-12-05 05:58:52,WAT,0.0,0.0,101.6,1426.0
115,2025-12-05 05:58:52,MAC,6.9,68.0,101.4,900.0
116,2025-12-05 06:01:54,AIR,2.1,28.0,102.2,889.0
117,2025-12-05 06:01:54,ICE,41.3,522.0,102.9,1249.0
118,2025-12-05 06:01:54,WAT,0.0,0.0,101.6,1426.0
119,2025-12-05 06:01:54,MAC,6.9,68.0,101.4,900.0
120,2025-12-05 06:04:54,AIR,2.1,28.0,102.2,889.0
121,2025-12-05 06:04:54,ICE,41.3,522.0,102.9,1249.0
122,2025-12-05 06:04:54,WAT,0.0,0.0,101.6,1426.0
123,2025-12-05 06:04:54,MAC,6.9,68.0,101.4,900.0
124,2025-12-05 06:07:55,AIR,2.1,28.0,102.2,889.0
125,2025-12-05 06:07:55,ICE,41.3,522.0,102.9,1249.0
126,2025-12-05 06:07:55,WAT,0.0,0.0,101.6,1426.0
127,2025-12-05 06:07:55,MAC,6.9,68.0,101.4,900.0
128,2025-12-05 06:10:56,AIR,2.1,28.0,102.2,889.0
129,2025-12-05 06:10:56,ICE,41.3,522.0,102.9,1249.0
130,2025-12-05 06:10:56,WAT,0.0,0.0,101.6,1426.0
131,2025-12-05 06:10:56,MAC,6.9,68.0,101.4,900.0
132,2025-12-05 06:13:57,AIR,2.1,28.0,102.2,889.0
133,2025-12-05 06:13:57,ICE,2.2,30.0,102.6,1271.0
134,2025-12-05 06:13:57,WAT,0.0,0.0,101.6,1426.0
135,2025-12-05 06:13:57,MAC,6.9,68.0,101.4,900.0
136,2025-12-05 06:16:58,AIR,2.1,28.0,102.2,889.0
137,2025-12-05 06:16:58,ICE,2.2,30.0,102.6,1271.0
138,2025-12-05 06:16:58,WAT,0.0,0.0,101.6,1426.0
139,2025-12-05 06:16:58,MAC,6.9,68.0,101.4,900.0
140,2025-12-05 06:19:59,AIR,2.1,28.0,102.2,889.0
141,2025-12-05 06:19:59,ICE,2.2,30.0,102.6,1271.0
142,2025-12-05 06:19:59,WAT,0.0,0.0,101.6,1426.0
143,2025-12-05 06:19:59,MAC,6.9,68.0,101.4,900.0
144,2025-12-05 06:23:00,AIR,2.1,28.0,102.2,889.0
145,2025-12-05 06:23:00,ICE,2.2,30.0,102.6,1271.0
146,2025-12-05 06:23:00,WAT,0.0,0.0,101.6,1426.0
147,2025-12-05 06:23:00,MAC,6.9,68.0,101.4,900.0
148,2025-12-05 06:26:01,AIR,2.1,28.0,102.2,889.0
149,2025-12-05 06:26:01,ICE,2.2,30.0,102.6,1271.0
150,2025-12-05 06:26:01,WAT,0.0,0.0,101.6,1426.0
151,2025-12-05 06:26:01,MAC,6.9,68.0,101.4,900.0
152,2025-12-05 06:29:02,AIR,2.1,28.0,102.2,889.0
153,2025-12-05 06:29:02,ICE,52.0,669.0,102.1,1288.0
154,2025-12-05 06:29:02,WAT,0.0,0.0,101.6,1426.0
155,2025-12-05 06:29:02,MAC,6.9,68.0,101.4,900.0
156,2025-12-05 06:32:03,AIR,2.1,28.0,102.2,889.0
157,2025-12-05 06:32:03,ICE,40.9,517.0,102.5,1289.0
158,2025-12-05 06:32:03,WAT,0.0,0.0,101.6,1426.0
159,2025-12-05 06:32:03,MAC,6.9,68.0,101.4,900.0
160,2025-12-05 06:35:04,AIR,2.1,28.0,102.2,889.0
161,2025-12-05 06:35:04,ICE,40.9,517.0,102.5,1289.0
162,2025-12-05 06:35:04,WAT,0.0,0.0,101.6,1426.0
163,2025-12-05 06:35:04,MAC,6.9,68.0,101.4,900.0
164,2025-12-05 06:38:05,AIR,2.1,28.0,102.2,889.0
165,2025-12-05 06:38:05,ICE,40.9,517.0,102.5,1289.0
166,2025-12-05 06:38:05,WAT,0.0,0.0,101.6,1426.0
167,2025-12-05 06:38:05,MAC,6.9,68.0,101.4,900.0
168,2025-12-05 06:41:06,AIR,2.1,28.0,102.2,889.0
169,2025-12-05 06:41:06,ICE,40.9,517.0,102.5,1289.0
170,2025-12-05 06:41:06,WAT,0.0,0.0,101.6,1426.0
171,2025-12-05 06:41:06,MAC,6.9,68.0,101.4,900.0
172,2025-12-05 06:44:07,AIR,2.1,28.0,102.2,889.0
173,2025-12-05 06:44:07,ICE,40.9,517.0,102.5,1289.0
174,2025-12-05 06:44:07,WAT,0.0,0.0,101.6,1426.0
175,2025-12-05 06:44:07,MAC,6.9,68.0,101.4,900.0
176,2025-12-05 06:47:08,AIR,2.1,28.0,102.2,889.0
177,2025-12-05 06:47:08,ICE,40.9,517.0,102.5,1289.0
178,2025-12-05 06:47:08,WAT,0.0,0.0,101.6,1426.0
